Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
ApoB,"0.021 [0.016,0.027]",1.455e-08,***,Apolipoprotein B
XS-VLDL-P,"0.021 [0.016,0.027]",7.110e-09,***,Concentration of Very Small VLDL Particles
Non-HDL-C,"0.021 [0.015,0.027]",2.030e-07,***,Total-Cholesterol Minus HDL-C
S-LDL-PL,"0.021 [0.015,0.026]",9.958e-08,***,Phospholipids in Small LDL
DHA,"0.020 [0.015,0.026]",2.408e-06,***,Docosahexaenoic Acid
L-LDL-L,"0.019 [0.014,0.025]",1.132e-05,***,Total-Lipids in Large LDL
XXL-VLDL-TG%,"0.019 [0.014,0.025]",4.244e-07,***,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Remnant-C,"0.019 [0.013,0.025]",1.768e-05,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
M-HDL-L,"0.018 [0.012,0.024]",0.001,**,Total-Lipids in Medium HDL
XS-VLDL-PL%,"0.018 [0.012,0.024]",0.001,**,Phospholipids to Total-Lipids in Very Small VLDL percentage
Omega-3%,"0.016 [0.010,0.022]",0.018,*,Omega-3 Fatty Acids to Total-Fatty Acids percentage
L-LDL-P,"0.016 [0.010,0.021]",0.009,**,Concentration of Large LDL Particles
M-LDL-FC,"0.015 [0.010,0.021]",0.019,*,Free Cholesterol in Medium LDL
IDL-PL%,"-0.015 [-0.020,-0.009]",0.045,*,Phospholipids to Total-Lipids in IDL percentage
Acetone,"-0.016 [-0.021,-0.010]",0.022,*,Acetone
IDL-FC,"-0.016 [-0.022,-0.010]",0.015,*,Free Cholesterol in IDL
XXL-VLDL-CE%,"-0.021 [-0.027,-0.016]",2.303e-09,***,Cholesteryl Esters to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
HDL-FC,"-0.022 [-0.028,-0.016]",1.872e-07,***,Free Cholesterol in HDL
M-LDL-PL%,"-0.025 [-0.031,-0.020]",1.343e-14,***,Phospholipids to Total-Lipids in Medium LDL percentage
DHA%,"-0.026 [-0.032,-0.019]",1.397e-10,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
Gly,"-0.026 [-0.031,-0.021]",1.761e-17,***,Glycine
Gln,"-0.027 [-0.033,-0.022]",2.548e-15,***,Glutamine
S-HDL-FC%,"-0.032 [-0.037,-0.026]",1.270e-22,***,Free Cholesterol to Total-Lipids in Small HDL percentage
HDL-C,"-0.033 [-0.040,-0.027]",6.916e-21,***,HDL Cholesterol
IDL-CE%,"-0.034 [-0.040,-0.028]",6.761e-24,***,Cholesteryl Esters to Total-Lipids in IDL percentage
L-LDL-PL%,"-0.035 [-0.040,-0.029]",1.219e-30,***,Phospholipids to Total-Lipids in Large LDL percentage
M-LDL-C%,"-0.036 [-0.041,-0.030]",4.038e-28,***,Cholesterol to Total-Lipids in Medium LDL percentage
HDL-CE,"-0.036 [-0.042,-0.030]",5.945e-25,***,Cholesteryl Esters in HDL
XXL-VLDL-C%,"-0.036 [-0.042,-0.031]",2.176e-32,***,Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
Omega-6/Omega-3,"-0.040 [-0.046,-0.035]",4.785e-36,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
S-HDL-CE%,"-0.041 [-0.047,-0.035]",5.060e-40,***,Cholesteryl Esters to Total-Lipids in Small HDL percentage
M-HDL-FC%,"-0.043 [-0.050,-0.036]",6.007e-30,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
LDL-size,"-0.043 [-0.049,-0.037]",5.072e-39,***,Average Diameter for LDL Particles
XXL-VLDL-FC%,"-0.048 [-0.054,-0.043]",9.161e-59,***,Free Cholesterol to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
L-LDL-C%,"-0.051 [-0.057,-0.045]",1.343e-50,***,Cholesterol to Total-Lipids in Large LDL percentage
S-HDL-C%,"-0.051 [-0.057,-0.046]",1.368e-62,***,Cholesterol to Total-Lipids in Small HDL percentage
L-HDL-PL,"-0.053 [-0.059,-0.047]",6.778e-62,***,Phospholipids in Large HDL
Unsaturation,"-0.054 [-0.060,-0.048]",7.503e-60,***,Degree of Unsaturation
S-LDL-PL%,"-0.055 [-0.061,-0.050]",1.489e-79,***,Phospholipids to Total-Lipids in Small LDL percentage
S-VLDL-CE%,"-0.056 [-0.062,-0.050]",2.851e-78,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
IDL-C%,"-0.057 [-0.063,-0.051]",2.376e-68,***,Cholesterol to Total-Lipids in IDL percentage
L-HDL-P,"-0.061 [-0.067,-0.055]",9.891e-87,***,Concentration of Large HDL Particles
L-HDL-FC,"-0.064 [-0.070,-0.058]",8.619e-95,***,Free Cholesterol in Large HDL
L-VLDL-C%,"-0.064 [-0.070,-0.058]",3.627e-106,***,Cholesterol to Total-Lipids in Large VLDL percentage
L-HDL-L,"-0.064 [-0.070,-0.058]",1.635e-86,***,Total-Lipids in Large HDL
XL-HDL-P,"-0.066 [-0.071,-0.060]",1.838e-111,***,Concentration of Very Large HDL Particles
XS-VLDL-FC%,"-0.067 [-0.073,-0.061]",3.257e-92,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
M-VLDL-PL%,"-0.068 [-0.074,-0.062]",3.060e-105,***,Phospholipids to Total-Lipids in Medium VLDL percentage
IDL-FC%,"-0.069 [-0.075,-0.063]",2.011e-106,***,Free Cholesterol to Total-Lipids in IDL percentage
S-VLDL-C%,"-0.070 [-0.076,-0.064]",1.073e-115,***,Cholesterol to Total-Lipids in Small VLDL percentage
S-LDL-FC%,"-0.074 [-0.080,-0.068]",2.838e-121,***,Free Cholesterol to Total-Lipids in Small LDL percentage
L-HDL-C,"-0.074 [-0.080,-0.068]",3.639e-123,***,Cholesterol in Large HDL
L-HDL-CE,"-0.076 [-0.082,-0.070]",1.706e-128,***,Cholesteryl Esters in Large HDL
S-VLDL-PL%,"-0.077 [-0.083,-0.071]",1.025e-138,***,Phospholipids to Total-Lipids in Small VLDL percentage
XL-HDL-PL,"-0.077 [-0.083,-0.072]",2.204e-150,***,Phospholipids in Very Large HDL
HDL-size,"-0.078 [-0.084,-0.071]",5.651e-131,***,Average Diameter for HDL Particles
XL-VLDL-FC%,"-0.078 [-0.083,-0.072]",2.911e-163,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
XL-HDL-L,"-0.078 [-0.084,-0.072]",7.876e-151,***,Total-Lipids in Very Large HDL
XL-HDL-FC,"-0.078 [-0.084,-0.073]",1.320e-167,***,Free Cholesterol in Very Large HDL
M-HDL-CE%,"-0.079 [-0.085,-0.073]",1.421e-133,***,Cholesteryl Esters to Total-Lipids in Medium HDL percentage
XL-HDL-CE,"-0.080 [-0.086,-0.074]",2.789e-159,***,Cholesteryl Esters in Very Large HDL
S-VLDL-FC%,"-0.080 [-0.086,-0.074]",1.144e-144,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
XL-HDL-C,"-0.081 [-0.087,-0.075]",7.641e-166,***,Cholesterol in Very Large HDL
M-HDL-C%,"-0.081 [-0.087,-0.075]",2.144e-135,***,Cholesterol to Total-Lipids in Medium HDL percentage
L-HDL-FC%,"-0.082 [-0.090,-0.075]",1.991e-102,***,Free Cholesterol to Total-Lipids in Large HDL percentage
XL-VLDL-CE%,"-0.083 [-0.088,-0.077]",6.031e-170,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
M-VLDL-FC%,"-0.083 [-0.089,-0.077]",8.840e-151,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
XL-VLDL-C%,"-0.084 [-0.089,-0.078]",1.700e-178,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
L-VLDL-CE%,"-0.087 [-0.093,-0.081]",5.066e-178,***,Cholesteryl Esters to Total-Lipids in Large VLDL percentage
XL-HDL-PL%,"-0.090 [-0.097,-0.083]",1.519e-123,***,Phospholipids to Total-Lipids in Very Large HDL percentage
LA%,"-0.091 [-0.098,-0.085]",1.371e-171,***,Linoleic Acid to Total-Fatty Acids percentage
XS-VLDL-C%,"-0.098 [-0.104,-0.091]",2.117e-185,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
XS-VLDL-CE%,"-0.099 [-0.105,-0.092]",1.450e-186,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
M-LDL-FC%,"-0.099 [-0.105,-0.093]",1.703e-200,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
M-VLDL-C%,"-0.100 [-0.107,-0.094]",6.235e-204,***,Cholesterol to Total-Lipids in Medium VLDL percentage
L-LDL-FC%,"-0.104 [-0.110,-0.098]",2.026e-230,***,Free Cholesterol to Total-Lipids in Large LDL percentage
PUFA/MUFA,"-0.105 [-0.111,-0.098]",2.402e-213,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
M-VLDL-CE%,"-0.106 [-0.113,-0.099]",6.630e-214,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
PUFA%,"-0.107 [-0.114,-0.101]",1.483e-216,***,Polyunsaturated Fatty Acids to Total-Fatty Acids percentage
Omega-6%,"-0.115 [-0.121,-0.108]",1.723e-256,***,Omega-6 Fatty Acids to Total-Fatty Acids percentage
L-HDL-CE%,"-0.126 [-0.133,-0.118]",1.644e-254,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
L-HDL-C%,"-0.130 [-0.137,-0.122]",1.177e-267,***,Cholesterol to Total-Lipids in Large HDL percentage
