Code,N_snp,Beta(95%CI),P(Bonferroni),P-star,LONGNAME,Chapter_name
M13_ANKYLOSPON,29005,-0.004 [-0.005--0.00],5.520e-147,***,Ankylosing spondylitis,Musculoskeletal
SPONDYLOARTHRITIS,25038,-0.004 [-0.005--0.00],8.279e-57,***,Spondyloarthritis,Musculoskeletal
C3_THYROID_GLAND,1116,-0.005 [-0.006--0.00],3.376e-06,***,Malignant neoplasm of thyroid gland,Neoplasms
H7_SCLERACORNEA,15425,-0.005 [-0.007--0.00],2.351e-06,***,"Disorders of sclera, cornea, iris and ciliary body",Eye and adnexa
E4_IRON_MET,3833,-0.005 [-0.006--0.00],1.061e-86,***,Disorders of iron metabolism,Endocrine and metabolic
CHRONNAS,1420,-0.005 [-0.007--0.00],3.163e-04,***,Crohn's disease NAS,Digestive
L12_ATROPHICSKIN,3167,-0.006 [-0.008--0.00],9.323e-09,***,Atrophic disorders of skin,Skin
M13_POLYARTHRITIS,1672,-0.006 [-0.008--0.00],4.424e-08,***,"Polyarthritis, unspecified",Musculoskeletal
RHEUMA_SERONEG,8327,-0.007 [-0.008--0.01],2.509e-33,***,Seronegative rheumatoid arthritis,Musculoskeletal
N14_PHIMOSIS,4306,-0.007 [-0.009--0.01],1.367e-09,***,"Redundant prepuce, phimosis and paraphimosis",Genitourinary
CHIRBIL_PRIM,2402,-0.007 [-0.008--0.01],1.586e-36,***,Primary biliary cholangitis (PBC),Digestive
E4_THYROIDNASOTH,177,-0.007 [-0.009--0.01],3.128e-06,***,"Disorder of thyroid, unspecified",Endocrine and metabolic
CD2_FOLLICULAR_LYMPHOMA,5808,-0.007 [-0.008--0.01],3.666e-91,***,"Follicular lymphoma, hilmo",Neoplasms
H7_IRIDOCYCLITIS,22983,-0.008 [-0.008--0.01],3.301e-111,***,Iridocyclitis,Eye and adnexa
L12_PAPULOSQUAMOUS,16405,-0.008 [-0.009--0.01],1.029e-45,***,Papulosquamous disorders,Skin
H7_HEREDRETINADYST,308,-0.008 [-0.010--0.01],2.232e-11,***,Hereditary retinal dystrophy,Eye and adnexa
H7_GLAUCOMA_NTG,563,-0.008 [-0.010--0.01],8.738e-11,***,Normotensive glaucoma,Eye and adnexa
C3_HEPATOCELLU_CARC,441,-0.008 [-0.011--0.01],7.834e-05,***,Hepatocellular carcinoma,Neoplasms
G6_ALS,180,-0.009 [-0.011--0.01],1.583e-08,***,Motor neuron disease,Nervous
H7_ENTROPION,903,-0.009 [-0.011--0.01],1.589e-07,***,Entropion and trichiasis of eyelid,Eye and adnexa
M13_CALCIFICTEND,177,-0.009 [-0.013--0.01],0.007,**,Calcific tendinitis of shoulder,Musculoskeletal
RHEUMA_OTHER_WIDE,12512,-0.009 [-0.010--0.01],5.125e-90,***,"Other (seronegative) rheumatoid arthritis, wide",Musculoskeletal
RHEUMA_SEROPOS_WIDE,21443,-0.009 [-0.010--0.01],2.473e-232,***,"Seropositive rheumatoid arthritis, wide",Musculoskeletal
M13_POLYMYALGIA,4532,-0.010 [-0.011--0.01],1.838e-34,***,Polymyalgia rheumatica,Musculoskeletal
RHEUMA_NOS,13051,-0.010 [-0.011--0.01],7.298e-155,***,Other/unspecified rheumatoid arthritis,Musculoskeletal
K11_UMBHER,2034,-0.010 [-0.013--0.01],6.647e-07,***,Umbilical hernia,Digestive
