Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
S-HDL-FC%,0.95 [0.94-0.96],2.236e-20,***,Free Cholesterol to Total-Lipids in Small HDL percentage
M-HDL-PL,0.95 [0.94-0.96],1.352e-20,***,Phospholipids in Medium HDL
L-VLDL-L,0.95 [0.94-0.96],1.574e-23,***,Total-Lipids in Large VLDL
XS-VLDL-PL,0.95 [0.94-0.96],3.836e-25,***,Phospholipids in Very Small VLDL
DHA%,0.95 [0.94-0.96],1.044e-23,***,Docosahexaenoic Acid to Total-Fatty Acids percentage
XL-HDL-C%,0.95 [0.94-0.96],3.633e-23,***,Cholesterol to Total-Lipids in Very Large HDL percentage
IDL-FC%,0.95 [0.94-0.95],9.096e-27,***,Free Cholesterol to Total-Lipids in IDL percentage
L-VLDL-FC,0.95 [0.94-0.95],4.785e-25,***,Free Cholesterol in Large VLDL
S-HDL-CE%,0.94 [0.94-0.95],1.465e-27,***,Cholesteryl Esters to Total-Lipids in Small HDL percentage
L-HDL-CE%,0.94 [0.93-0.95],2.339e-25,***,Cholesteryl Esters to Total-Lipids in Large HDL percentage
S-VLDL-CE%,0.94 [0.93-0.95],3.933e-29,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
M-VLDL-TG,0.94 [0.93-0.95],3.608e-28,***,Triglycerides in Medium VLDL
Val,0.94 [0.93-0.95],7.623e-27,***,Valine
M-HDL-C%,0.94 [0.93-0.95],1.462e-27,***,Cholesterol to Total-Lipids in Medium HDL percentage
S-VLDL-P,0.94 [0.93-0.95],1.428e-31,***,Concentration of Small VLDL Particles
L-HDL-C%,0.94 [0.93-0.95],2.495e-29,***,Cholesterol to Total-Lipids in Large HDL percentage
PUFA/MUFA,0.94 [0.93-0.95],1.634e-28,***,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio
M-HDL-L,0.94 [0.93-0.95],2.414e-29,***,Total-Lipids in Medium HDL
HDL-PL,0.94 [0.93-0.95],6.456e-28,***,Phospholipids in HDL
ApoB/ApoA1,0.94 [0.93-0.95],1.294e-36,***,Apolipoprotein B to Apolipoprotein A1 ratio
XL-VLDL-C,0.94 [0.93-0.95],1.039e-35,***,Cholesterol in Very Large VLDL
M-HDL-P,0.93 [0.93-0.94],4.999e-33,***,Concentration of Medium HDL Particles
L-VLDL-C,0.93 [0.93-0.94],5.837e-38,***,Cholesterol in Large VLDL
XS-VLDL-FC%,0.93 [0.93-0.94],1.888e-41,***,Free Cholesterol to Total-Lipids in Very Small VLDL percentage
M-HDL-CE,0.93 [0.92-0.94],3.167e-34,***,Cholesteryl Esters in Medium HDL
VLDL-L,0.93 [0.92-0.94],1.570e-39,***,Total-Lipids in VLDL
S-HDL-C%,0.93 [0.92-0.94],1.063e-42,***,Cholesterol to Total-Lipids in Small HDL percentage
XS-VLDL-L,0.93 [0.92-0.94],3.163e-42,***,Total-Lipids in Very Small VLDL
M-HDL-C,0.93 [0.92-0.94],1.848e-36,***,Cholesterol in Medium HDL
S-VLDL-L,0.93 [0.92-0.94],1.216e-43,***,Total-Lipids in Small VLDL
Omega-3%,0.93 [0.92-0.94],4.532e-43,***,Omega-3 Fatty Acids to Total-Fatty Acids percentage
SFA,0.93 [0.92-0.94],3.911e-46,***,Saturated Fatty Acids
XS-VLDL-P,0.93 [0.92-0.94],1.790e-46,***,Concentration of Very Small VLDL Particles
VLDL-PL,0.93 [0.92-0.94],8.139e-47,***,Phospholipids in VLDL
M-HDL-FC,0.93 [0.92-0.94],5.757e-39,***,Free Cholesterol in Medium HDL
LA%,0.93 [0.92-0.94],6.498e-45,***,Linoleic Acid to Total-Fatty Acids percentage
M-LDL-CE%,0.93 [0.92-0.94],3.210e-49,***,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
S-HDL-PL,0.93 [0.92-0.94],4.467e-49,***,Phospholipids in Small HDL
XS-VLDL-FC,0.93 [0.92-0.94],1.618e-49,***,Free Cholesterol in Very Small VLDL
L-VLDL-CE,0.93 [0.92-0.94],2.353e-50,***,Cholesteryl Esters in Large VLDL
HDL-L,0.93 [0.92-0.94],1.056e-40,***,Total-Lipids in HDL
VLDL-P,0.93 [0.92-0.93],8.188e-53,***,Concentration of VLDL Particles
M-VLDL-CE%,0.93 [0.92-0.93],2.448e-50,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
XL-VLDL-CE,0.92 [0.92-0.93],8.693e-53,***,Cholesteryl Esters in Very Large VLDL
L-LDL-CE%,0.92 [0.91-0.93],4.740e-58,***,Cholesteryl Esters to Total-Lipids in Large LDL percentage
M-VLDL-C%,0.92 [0.91-0.93],1.721e-54,***,Cholesterol to Total-Lipids in Medium VLDL percentage
S-VLDL-C%,0.92 [0.91-0.93],2.683e-59,***,Cholesterol to Total-Lipids in Small VLDL percentage
HDL-FC,0.92 [0.91-0.93],1.263e-45,***,Free Cholesterol in HDL
S-VLDL-CE,0.92 [0.91-0.93],3.537e-61,***,Cholesteryl Esters in Small VLDL
ApoA1,0.92 [0.91-0.93],1.288e-51,***,Apolipoprotein A1
M-VLDL-FC%,0.92 [0.91-0.93],2.346e-61,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
VLDL-FC,0.92 [0.91-0.93],1.104e-64,***,Free Cholesterol in VLDL
HDL-CE,0.92 [0.91-0.93],2.447e-51,***,Cholesteryl Esters in HDL
Total-FA,0.92 [0.91-0.93],2.414e-66,***,Total-Fatty Acids
Unsaturation,0.92 [0.91-0.93],2.152e-61,***,Degree of Unsaturation
S-HDL-L,0.92 [0.91-0.92],6.480e-68,***,Total-Lipids in Small HDL
HDL-C,0.92 [0.91-0.93],1.319e-52,***,HDL Cholesterol
