Code,N_snp,Beta(95%CI),P(Bonferroni),P-star,LONGNAME,Chapter_name
K11_OTHGASTR,253,-0.026 [-0.034--0.02],2.989e-07,***,Other gastritis (incl. Duodenitis),Digestive
M13_CALCIFICTEND,177,-0.026 [-0.030--0.02],7.653e-53,***,Calcific tendinitis of shoulder,Musculoskeletal
M13_GIANTCELL,1909,-0.027 [-0.028--0.03],1.000e-315,***,Giant cell arteritis,Musculoskeletal
I9_THAORTANEUR,1182,-0.027 [-0.029--0.02],6.624e-73,***,Thoracic aortic aneurysm,Circulatory
CD2_BENIGN_MELANOCYTIC_SCALPNECK,136,-0.027 [-0.031--0.02],4.711e-29,***,Melanocytic naevi of scalp and neck,Neoplasms
N14_DIALYSIS,1620,-0.027 [-0.028--0.03],1.000e-315,***,Dialysis,Genitourinary
H7_KERATITIS,1243,-0.028 [-0.034--0.02],1.139e-16,***,Keratitis,Eye and adnexa
AB1_ZOSTER,268,-0.028 [-0.035--0.02],1.848e-09,***,Zoster [herpes zoster],Infectious and parasitic
H8_NONSUPPNAS,1145,-0.028 [-0.034--0.02],5.808e-18,***,Nonsuppurative otitis media,Ear and mastoid
M13_OSTEOMYELITIS,308,-0.029 [-0.033--0.02],7.224e-33,***,Osteomyelitis,Musculoskeletal
J10_NASALPOLYP,7370,-0.029 [-0.030--0.03],1.000e-315,***,Nasal polyp,Respiratory
L12_PILONIDALCYST,217,-0.030 [-0.034--0.03],9.580e-47,***,Pilonidal cyst,Skin
H7_CATARACTOTHER,4338,-0.031 [-0.036--0.03],1.386e-24,***,Other cataract,Eye and adnexa
H7_RETINALDETACHBREAK,53,-0.031 [-0.040--0.02],3.578e-06,***,Retinal detachment with retinal break,Eye and adnexa
ALLERG_RHINITIS,746,-0.031 [-0.035--0.03],2.470e-49,***,Allergic rhinitis,Respiratory
CD2_BENIGN_MELANOCYTIC,521,-0.031 [-0.038--0.02],8.772e-16,***,Melanocytic naevi,Neoplasms
I9_AORTANEUR,1277,-0.032 [-0.035--0.03],1.091e-51,***,Aortic aneurysm,Circulatory
M13_POSTOPMUSCULOSKE,86,-0.032 [-0.040--0.03],2.765e-13,***,"Postprocedural musculoskeletal disorders, not elsewhere classified",Musculoskeletal
AB1_VIRAL_WARTS,3425,-0.033 [-0.034--0.03],1.000e-315,***,Viral warts,Infectious and parasitic
M13_FIBROMYALGIA,102,-0.034 [-0.045--0.02],0.004,**,Fibromyalgia,Musculoskeletal
K11_FIBROCHIRLIV,942,-0.036 [-0.038--0.03],1.100e-136,***,Fibrosis and cirrhosis of liver,Digestive
H8_HL_PRESBY,136,-0.038 [-0.044--0.03],3.877e-32,***,Presbycusis,Ear and mastoid
K11_DISLIVOTH,287,-0.038 [-0.045--0.03],8.911e-28,***,Other diseases of liver,Digestive
E4_MINERAL_MET,806,-0.040 [-0.042--0.04],1.539e-159,***,Disorders of mineral metabolism,Endocrine and metabolic
J10_PLEURPLAGUE,310,-0.040 [-0.043--0.04],5.457e-152,***,Pleural plaque,Respiratory
CD2_BENIGN_PITUITARY_CRANIPHAR,90,-0.041 [-0.045--0.04],2.120e-60,***,"Benign neoplasm: Pituitary gland, craniopharyngeal duct",Neoplasms
C3_CANCER_WIDE,3272,-0.045 [-0.051--0.04],3.672e-50,***,"Malignant neoplasm, wide definition for exclusion",Neoplasms
C3_CLL_WIDE,431,-0.046 [-0.049--0.04],2.563e-121,***,"Chronic lymphocytic leukaemia and small lyphocytis leukaemia, including Hilmo",Neoplasms
CD2_BENIGN_MELANOCYTIC_TRUNK,183,-0.046 [-0.050--0.04],1.393e-80,***,Melanocytic naevi of trunk,Neoplasms
C3_BILIARY_GALLBLADDER,192,-0.046 [-0.049--0.04],6.143e-182,***,"Malignant neoplasm of intrahepatic ducts, biliary tract and gallbladder",Neoplasms
J10_SEPTDEV,498,-0.047 [-0.054--0.04],2.379e-32,***,Deviated nasal septum,Respiratory
N14_OTHNONINFUTER,645,-0.048 [-0.052--0.04],7.537e-147,***,"Other noninflammatory disorders of uterus, except cervix",Genitourinary
N14_URETHRAOTH,610,-0.050 [-0.059--0.04],6.593e-23,***,Other disorders of urethra and urinary system,Genitourinary
N14_MENOPAUSOT,49,-0.051 [-0.065--0.04],2.657e-06,***,Other menopausal disorders,Genitourinary
N14_OVARYCYST,986,-0.051 [-0.056--0.05],7.369e-94,***,Ovarian cyst,Genitourinary
N14_MENSIRREG,59,-0.054 [-0.070--0.04],7.087e-05,***,Irregular menses,Genitourinary
O15_LABOUR_FETAL_STRESS,65,-0.057 [-0.071--0.04],2.969e-11,***,Labour and delivery complicated by fetal stress [distress],Pregnancy
M13_ENTESOPATHYOTH,48,-0.058 [-0.077--0.04],6.172e-04,***,Other enthesopathies,Musculoskeletal
CD2_LYMPHOID_LEUKAEMIA,767,-0.059 [-0.062--0.05],1.924e-186,***,Lymphoid leukaemia,Neoplasms
J10_PERITONSABSC,1910,-0.059 [-0.063--0.05],1.631e-122,***,Peritonsillar abscess,Respiratory
J10_CHRONTONSADEN,5827,-0.060 [-0.066--0.06],7.885e-106,***,Chronic diseases of tonsils and adenoids,Respiratory
J10_CHRONSINUSITIS,3550,-0.060 [-0.064--0.06],3.129e-215,***,Chronic sinusitis,Respiratory
H7_CATARACTSENILE,4936,-0.061 [-0.067--0.06],2.169e-82,***,Senile cataract,Eye and adnexa
K11_PERITONITIS,161,-0.064 [-0.068--0.06],3.970e-238,***,Acute peritonitis,Digestive
N14_MESNRUIRREG,1548,-0.065 [-0.076--0.05],5.467e-28,***,"Excessive, frequent and irregular menstruation",Genitourinary
M13_OSTEOPOROSIS,372,-0.065 [-0.074--0.06],4.512e-48,***,Osteoporosis,Musculoskeletal
H8_EXTOTITIS,1164,-0.067 [-0.071--0.06],5.436e-217,***,Otitis externa,Ear and mastoid
L12_CORNSANDCALLOS,491,-0.070 [-0.072--0.07],1.000e-315,***,Corns and callosities,Skin
M13_HAMMERTOE,331,-0.071 [-0.079--0.06],2.200e-62,***,Other hammer toe(s) (acquired),Musculoskeletal
L12_DISORDSKINAPPENDIX,424,-0.077 [-0.093--0.06],1.836e-16,***,Disorders of skin appendages,Skin
D3_ANAEMIA_IRONDEF_NAS,859,-0.078 [-0.084--0.07],6.833e-161,***,Other and unspecified iron deficiency,Blood and immune
AB1_VIRAL_OTHER_INTEST_INFECTIONS,985,-0.079 [-0.086--0.07],9.955e-113,***,Viral and other specified intestinal infections,Infectious and parasitic
K11_ORAL,489,-0.079 [-0.107--0.05],0.002,**,"Diseases of oral cavity, salivary glands and jaws",Digestive
PHLEBI_THROMBOP_LOWER_EXTREMITI_UNSPE,25,-0.080 [-0.090--0.07],8.308e-41,***,"Phlebitis and thrombophlebitis of lower extremities, unspecified, drug-induced",Ear and mastoid
M13_SOFTTISSUEOTH,600,-0.081 [-0.104--0.06],2.069e-06,***,"Other soft tissue disorders, not elsewhere classified",Musculoskeletal
F5_ANXIETY,71,-0.082 [-0.101--0.06],8.188e-12,***,Other anxiety disorders,Mental and behavioural
H7_CHALAZION,671,-0.084 [-0.091--0.08],7.930e-97,***,Chalazion,Eye and adnexa
M13_SCIATICA,658,-0.090 [-0.101--0.08],4.975e-48,***,Sciatica+with lumbago,Musculoskeletal
K11_CHRONGASTR,210,-0.091 [-0.100--0.08],5.236e-81,***,Chronic gastritis,Digestive
G6_POLYOTHUNS,107,-0.093 [-0.110--0.08],5.750e-20,***,"Other and unspecified polyneuropathies, also in other diseases",Nervous
H7_VITRBODYGLOBE,276,-0.096 [-0.111--0.08],2.139e-32,***,Disorders of vitreous body,Eye and adnexa
O15_PREG_OTHER_MAT_DISORD,1961,-0.097 [-0.105--0.09],1.360e-154,***,Other maternal disorders predominantly related to pregnancy,Pregnancy
I9_ARTOTH,187,-0.102 [-0.108--0.10],3.555e-277,***,Other diseases of arteries and capillaries,Circulatory
E4_HYPERLIPMIX,365,-0.104 [-0.122--0.09],5.268e-27,***,Mixed hyperlipidaemia,Endocrine and metabolic
L12_INFECT_SKIN,518,-0.107 [-0.117--0.10],2.886e-77,***,Infections of the skin and subcutaneous tissue,Skin
M13_SYNOTEND,1267,-0.110 [-0.118--0.10],1.858e-154,***,Disorders of synovium and tendon,Musculoskeletal
M13_TENDOSYNOVITISNAS,236,-0.112 [-0.117--0.11],1.000e-315,***,Other/unspecified synovitis and tenosynovitis,Musculoskeletal
H8_EXTERNAL,828,-0.119 [-0.124--0.11],1.000e-315,***,Diseases of external ear,Ear and mastoid
ASTHMA_NAS,3913,-0.126 [-0.129--0.12],1.000e-315,***,"Asthma, unspecified (mode)",Respiratory
ALCOHOLACUTE10,1,-0.127 [-0.160--0.09],1.712e-08,***,"Acute alcohol intoxication, ICD10",Mental and behavioural
F5_DEPRESSIO,2165,-0.130 [-0.140--0.12],5.356e-143,***,Depression,Mental and behavioural
O15_MATERN_CARE_OTHER,240,-0.136 [-0.147--0.13],4.458e-133,***,Maternal care for other known or suspected fetal problems,Pregnancy
AB1_VIRAL_SKIN_MUCOUS_MEMBRANE,1622,-0.137 [-0.142--0.13],1.000e-315,***,Viral infections characterized by skin and mucous membrane lesions,Infectious and parasitic
J10_UPPERDIS,4085,-0.141 [-0.150--0.13],1.742e-250,***,Other diseases of upper respiratory tract,Respiratory
M13_OSTEOCHONDRO,166,-0.145 [-0.170--0.12],2.502e-24,***,Osteopathies and chondropathies,Musculoskeletal
M13_ARTHROSIS_OTH,570,-0.146 [-0.193--0.10],2.317e-04,***,Other arthrosis,Musculoskeletal
N14_PROSTHYPERPLA,3795,-0.157 [-0.163--0.15],1.000e-315,***,Hyperplasia of prostate,Genitourinary
M13_LIMBPAIN,197,-0.162 [-0.216--0.11],5.922e-04,***,Pain in limb,Musculoskeletal
O15_MATERN_CARE_PELVIC_ABNORM,86,-0.189 [-0.203--0.18],3.846e-166,***,Maternal care for known or suspected abnormality of pelvic organs,Pregnancy
O15_DELIV_CAESAR,82,-0.200 [-0.215--0.19],3.417e-150,***,Single delivery by caesarean section,Pregnancy
J10_INFLUPNEU,534,-0.202 [-0.220--0.18],1.322e-93,***,Influenza and pneumonia,Respiratory
AB1_OTHER_BACTERIAL,478,-0.220 [-0.247--0.19],3.148e-50,***,Other bacterial diseases,Infectious and parasitic
J10_UPPERINFEC,1002,-0.249 [-0.259--0.24],1.000e-315,***,Acute upper respiratory infections,Respiratory
J10_ACUTEUPPERINFEC,241,-0.268 [-0.294--0.24],5.697e-85,***,Acute upper respiratory infections of multiple and unspecified sites,Respiratory
K11_BILIAOTH,6,-0.270 [-0.298--0.24],8.889e-73,***,Other diseases of biliary tract,Digestive
KRA_PSY_ANYMENTAL,2504,-0.275 [-0.291--0.26],3.503e-252,***,Any mental disorder,Mental and behavioural
N14_MALEGEN,1375,-0.282 [-0.294--0.27],1.000e-315,***,Diseases of male genital organs,Genitourinary
