Code,N_snp,Beta(95%CI),P(Bonferroni),P-star,LONGNAME,Chapter_name
O15_GESTAT_HYPERT,476,-0.026 [-0.032--0.02],1.989e-13,***,Gestational [pregnancy-induced] hypertension,Pregnancy
AB1_ZOSTER,268,-0.027 [-0.032--0.02],1.084e-19,***,Zoster [herpes zoster],Infectious and parasitic
L12_ATROPHICSKIN,3167,-0.027 [-0.029--0.03],1.459e-169,***,Atrophic disorders of skin,Skin
AB1_VIRAL_OTHER_INTEST_INFECTIONS,985,-0.028 [-0.033--0.02],8.926e-17,***,Viral and other specified intestinal infections,Infectious and parasitic
O15_LABOUR_MALPOS,202,-0.029 [-0.040--0.02],0.028,*,Obstructed labour due to malposition and malpresentation of fetus,Pregnancy
KRA_PSY_ANXIETY,740,-0.029 [-0.038--0.02],7.622e-06,***,Anxiety disorders,Mental and behavioural
K11_DULC,287,-0.030 [-0.034--0.02],1.403e-27,***,Duodenal ulcer,Digestive
F5_PSYCHOTH,126,-0.030 [-0.039--0.02],8.740e-07,***,Other and unspecified nonorganic psychotic disorders,Mental and behavioural
C_DIFFICILE_ENTEROCOLITIS,2693,-0.030 [-0.032--0.03],1.038e-265,***,Enterocolitis due to Clostridium difficile,Infectious and parasitic
I9_ARTOTH,187,-0.031 [-0.038--0.02],6.138e-11,***,Other diseases of arteries and capillaries,Circulatory
E4_MINERAL_MET,806,-0.031 [-0.033--0.03],1.624e-146,***,Disorders of mineral metabolism,Endocrine and metabolic
M13_CALCIFICTEND,177,-0.031 [-0.034--0.03],7.853e-76,***,Calcific tendinitis of shoulder,Musculoskeletal
I9_AORTANEUR,1277,-0.032 [-0.034--0.03],5.770e-107,***,Aortic aneurysm,Circulatory
E4_OBESITYXTRMALV,103,-0.032 [-0.036--0.03],2.977e-59,***,Extreme obesity with alveolar hypoventilation,Endocrine and metabolic
M13_THORACISPINEPAIN,151,-0.033 [-0.041--0.02],4.616e-08,***,Pain in thoracic spine,Musculoskeletal
H8_EXTOTITIS,1164,-0.033 [-0.037--0.03],3.052e-37,***,Otitis externa,Ear and mastoid
C3_ANUS_ANALCANAL,76,-0.033 [-0.039--0.03],2.172e-19,***,Malignant neoplasm of anus and anal canal,Neoplasms
N14_MENORRHAGIA,716,-0.034 [-0.041--0.03],3.501e-17,***,Menorrhagia,Genitourinary
O15_HYPTENSPREG,969,-0.035 [-0.040--0.03],2.753e-37,***,Pregnancy hypertension,Pregnancy
M13_ARTHROSIS_OTH,570,-0.035 [-0.042--0.03],1.534e-20,***,Other arthrosis,Musculoskeletal
I9_HEARTFAIL,682,-0.037 [-0.043--0.03],7.381e-26,***,"Heart failure, strict",Circulatory
H7_CONJUNCTIVITISACUNONATOPIC,214,-0.037 [-0.047--0.03],1.524e-07,***,"Conjunctivitis (acute, non atopic)",Eye and adnexa
L12_DISORDSKINAPPENDIX,424,-0.038 [-0.047--0.03],8.083e-15,***,Disorders of skin appendages,Skin
H8_EXT_NAS,170,-0.039 [-0.049--0.03],3.277e-08,***,"Otitis externa, unspecified",Ear and mastoid
G6_HYDROCEPH,204,-0.040 [-0.045--0.03],3.377e-38,***,Hydrocephalus,Nervous
CD2_BENIGN_THYROID,151,-0.041 [-0.044--0.04],2.183e-176,***,Benign neoplasm of thyroid gland,Neoplasms
N14_MENOPAUSOT,49,-0.041 [-0.056--0.03],0.013,*,Other menopausal disorders,Genitourinary
M13_TENDOSYNOVITISNAS,236,-0.042 [-0.049--0.03],1.406e-26,***,Other/unspecified synovitis and tenosynovitis,Musculoskeletal
I9_VTE,4388,-0.043 [-0.059--0.03],0.042,*,Venous thromboembolism,Circulatory
H8_NONSUPPNAS,1145,-0.043 [-0.048--0.04],7.767e-69,***,Nonsuppurative otitis media,Ear and mastoid
O15_PREG_OTHER_MAT_DISORD,1961,-0.047 [-0.053--0.04],2.789e-44,***,Other maternal disorders predominantly related to pregnancy,Pregnancy
L12_FOLICULAROTH,12,-0.051 [-0.066--0.03],7.097e-05,***,Other follicular disorders,Skin
M13_SYNOTEND,1267,-0.051 [-0.057--0.04],1.045e-49,***,Disorders of synovium and tendon,Musculoskeletal
F5_DEPRESSIO,2165,-0.052 [-0.059--0.04],5.546e-40,***,Depression,Mental and behavioural
E4_HYPERLIPMIX,365,-0.052 [-0.064--0.04],9.138e-13,***,Mixed hyperlipidaemia,Endocrine and metabolic
H8_EXTERNAL,828,-0.054 [-0.061--0.05],9.946e-54,***,Diseases of external ear,Ear and mastoid
O15_PREG_PROLONGED,37,-0.055 [-0.068--0.04],2.518e-09,***,Prolonged pregnancy,Pregnancy
AB1_OTHER_BACTERIAL,478,-0.056 [-0.074--0.04],1.410e-04,***,Other bacterial diseases,Infectious and parasitic
J10_UPPERDIS,4085,-0.056 [-0.063--0.05],6.122e-50,***,Other diseases of upper respiratory tract,Respiratory
K11_FISTULA,485,-0.059 [-0.065--0.05],1.461e-72,***,Colonic or urogenital fistula,Digestive
F5_ANXIETY,71,-0.059 [-0.079--0.04],0.002,**,Other anxiety disorders,Mental and behavioural
AB1_BACT_INTEST_OTH,357,-0.060 [-0.066--0.05],7.775e-64,***,Other bacterial intestinal infections,Infectious and parasitic
J10_CHRONTONSADEN,5827,-0.068 [-0.072--0.06],6.323e-225,***,Chronic diseases of tonsils and adenoids,Respiratory
K11_GASTRODUOULC,227,-0.070 [-0.076--0.06],8.735e-100,***,Gastroduodenal ulcer,Digestive
M13_HAMMERTOE,331,-0.078 [-0.086--0.07],5.683e-95,***,Other hammer toe(s) (acquired),Musculoskeletal
K11_OTHGASTR,253,-0.092 [-0.099--0.08],1.790e-123,***,Other gastritis (incl. Duodenitis),Digestive
G6_ROOTPLEXOTHUNS,42,-0.092 [-0.120--0.06],1.626e-05,***,"Other and unspecified nerve root and plexus disorders, also in other diseases",Nervous
N14_PROSTHYPERPLA,3794,-0.093 [-0.097--0.09],1.000e-315,***,Hyperplasia of prostate,Genitourinary
K11_INTESTOTH,398,-0.096 [-0.113--0.08],5.468e-21,***,Other diseases of intestines,Digestive
H7_CHALAZION,671,-0.098 [-0.117--0.08],2.822e-18,***,Chalazion,Eye and adnexa
IPF,3405,-0.098 [-0.100--0.10],1.000e-315,***,Idiopathic pulmonary fibrosis,Respiratory
J10_UPPERINFEC,1002,-0.100 [-0.113--0.09],3.637e-45,***,Acute upper respiratory infections,Respiratory
J10_INFLUPNEU,534,-0.104 [-0.122--0.09],1.115e-25,***,Influenza and pneumonia,Respiratory
N14_FEMALEINFERT,80,-0.115 [-0.131--0.10],1.734e-43,***,Female infertility,Genitourinary
N14_URINOTH,1485,-0.122 [-0.131--0.11],1.577e-150,***,Other diseases of urinary system,Genitourinary
G6_PARKINSON,2693,-0.156 [-0.157--0.15],1.000e-315,***,Parkinson's disease,Nervous
N14_MALEGEN,1375,-0.173 [-0.182--0.16],1.000e-315,***,Diseases of male genital organs,Genitourinary
KRA_PSY_ANYMENTAL,2504,-0.183 [-0.192--0.17],1.000e-315,***,Any mental disorder,Mental and behavioural
J10_ACUTEUPPERINFEC,241,-0.189 [-0.212--0.17],1.013e-51,***,Acute upper respiratory infections of multiple and unspecified sites,Respiratory
CD2_BENIGN_COLORECANI,1443,-0.196 [-0.257--0.14],5.564e-05,***,"Benign neoplasm of colon, rectum, anus and anal canal",Neoplasms
N14_CYSTITIS,693,-0.210 [-0.218--0.20],1.000e-315,***,Cystitis,Genitourinary
CD2_BENIGN_COLON_NOS,212,-0.718 [-0.940--0.50],5.718e-05,***,"Benign neoplasm: Colon, unspecified",Neoplasms
