Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
XL-HDL-C,0.46 [0.42-0.50],1.035e-65,***,Cholesterol in Very Large HDL
XL-HDL-P,0.45 [0.42-0.50],1.237e-61,***,Concentration of Very Large HDL Particles
IDL-P,0.45 [0.43-0.48],7.569e-118,***,Concentration of IDL Particles
M-VLDL-CE,0.45 [0.42-0.48],2.441e-127,***,Cholesteryl Esters in Medium VLDL
IDL-PL,0.45 [0.42-0.48],6.133e-134,***,Phospholipids in IDL
IDL-C,0.45 [0.42-0.47],2.821e-159,***,Cholesterol in IDL
XS-VLDL-CE,0.45 [0.42-0.48],2.870e-124,***,Cholesteryl Esters in Very Small VLDL
XL-HDL-CE,0.44 [0.40-0.48],3.501e-65,***,Cholesteryl Esters in Very Large HDL
IDL-CE,0.44 [0.42-0.47],4.917e-159,***,Cholesteryl Esters in IDL
IDL-FC,0.44 [0.41-0.47],9.995e-141,***,Free Cholesterol in IDL
