Abbreviations,HR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-C,0.74 [0.70-0.77],5.887e-32,***,Cholesterol in Medium LDL
L-HDL-C%,0.73 [0.71-0.76],2.839e-56,***,Cholesterol to Total-Lipids in Large HDL percentage
Cholines,0.73 [0.70-0.77],1.355e-31,***,Total-Cholines
HDL-size,0.73 [0.69-0.78],1.239e-16,***,Average Diameter for HDL Particles
S-LDL-C,0.73 [0.70-0.77],8.235e-33,***,Cholesterol in Small LDL
Total-PL,0.73 [0.69-0.76],4.581e-35,***,Total-Phospholipids in Lipoprotein Particles
LDL-P,0.73 [0.69-0.76],2.612e-32,***,Concentration of LDL Particles
ApoB,0.72 [0.69-0.76],6.852e-37,***,Apolipoprotein B
L-HDL-PL,0.72 [0.68-0.77],1.121e-18,***,Phospholipids in Large HDL
M-VLDL-CE%,0.72 [0.69-0.74],4.449e-92,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
Total-P,0.72 [0.68-0.75],8.576e-31,***,Total-Concentration of Lipoprotein Particles
LDL-CE,0.71 [0.68-0.75],2.465e-42,***,Cholesteryl Esters in LDL
LDL-L,0.71 [0.68-0.74],1.261e-44,***,Total-Lipids in LDL
L-LDL-P,0.71 [0.68-0.75],6.584e-37,***,Concentration of Large LDL Particles
LA%,0.71 [0.67-0.74],3.098e-49,***,Linoleic Acid to Total-Fatty Acids percentage
S-VLDL-CE%,0.70 [0.67-0.73],1.820e-59,***,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
M-HDL-FC%,0.70 [0.67-0.73],2.749e-46,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
Remnant-C,0.70 [0.67-0.73],2.555e-49,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
S-LDL-FC,0.70 [0.67-0.73],1.669e-44,***,Free Cholesterol in Small LDL
LDL-PL,0.70 [0.67-0.73],3.097e-46,***,Phospholipids in LDL
Non-HDL-C,0.70 [0.67-0.73],8.711e-53,***,Total-Cholesterol Minus HDL-C
LDL-C,0.70 [0.67-0.73],2.417e-50,***,LDL Cholesterol
L-VLDL-C%,0.69 [0.66-0.72],2.929e-46,***,Cholesterol to Total-Lipids in Large VLDL percentage
L-LDL-CE,0.69 [0.66-0.72],6.171e-50,***,Cholesteryl Esters in Large LDL
M-LDL-C%,0.69 [0.66-0.71],1.400e-80,***,Cholesterol to Total-Lipids in Medium LDL percentage
L-LDL-L,0.69 [0.66-0.72],1.054e-53,***,Total-Lipids in Large LDL
XL-HDL-PL,0.68 [0.64-0.73],4.328e-23,***,Phospholipids in Very Large HDL
XL-HDL-FC,0.68 [0.64-0.73],2.387e-30,***,Free Cholesterol in Very Large HDL
HDL-FC,0.68 [0.64-0.73],3.993e-30,***,Free Cholesterol in HDL
M-VLDL-C,0.68 [0.65-0.72],1.379e-48,***,Cholesterol in Medium VLDL
XS-VLDL-C,0.68 [0.65-0.71],6.296e-47,***,Cholesterol in Very Small VLDL
L-HDL-L,0.68 [0.64-0.72],2.782e-27,***,Total-Lipids in Large HDL
M-LDL-FC,0.68 [0.65-0.71],9.690e-50,***,Free Cholesterol in Medium LDL
M-VLDL-C%,0.68 [0.65-0.70],6.869e-92,***,Cholesterol to Total-Lipids in Medium VLDL percentage
Total-FC,0.67 [0.64-0.71],1.533e-57,***,Total-Free Cholesterol
Clinical LDL-C,0.67 [0.65-0.70],8.754e-65,***,Clinical LDL Cholesterol
L-LDL-C,0.67 [0.64-0.70],5.027e-58,***,Cholesterol in Large LDL
HDL-CE,0.67 [0.64-0.71],4.354e-36,***,Cholesteryl Esters in HDL
HDL-C,0.67 [0.63-0.71],3.159e-36,***,HDL Cholesterol
IDL-CE%,0.67 [0.64-0.69],5.479e-88,***,Cholesteryl Esters to Total-Lipids in IDL percentage
IDL-C%,0.67 [0.64-0.69],2.244e-96,***,Cholesterol to Total-Lipids in IDL percentage
