Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
Pyruvate,"0.005 [0.003,0.007]",0.006,**,Pyruvate
S-LDL-L,"0.005 [0.003,0.007]",0.022,*,Total-Lipids in Small LDL
L-LDL-PL%,"-0.006 [-0.008,-0.004]",1.056e-04,***,Phospholipids to Total-Lipids in Large LDL percentage
His,"-0.006 [-0.008,-0.004]",8.534e-07,***,Histidine
Lactate,"-0.006 [-0.008,-0.005]",2.341e-06,***,Lactate
M-HDL-TG,"-0.008 [-0.009,-0.006]",9.207e-11,***,Triglycerides in Medium HDL
Ala,"-0.008 [-0.010,-0.006]",3.938e-12,***,Alanine
Tyr,"-0.009 [-0.010,-0.007]",2.618e-13,***,Tyrosine
Omega-6/Omega-3,"-0.009 [-0.011,-0.007]",5.717e-18,***,Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio
VLDL-CE,"-0.009 [-0.011,-0.007]",3.037e-17,***,Cholesteryl Esters in VLDL
S-LDL-P,"-0.010 [-0.011,-0.008]",1.979e-20,***,Concentration of Small LDL Particles
Gln,"-0.011 [-0.012,-0.009]",3.681e-26,***,Glutamine
Sc-ala,"-0.012 [-0.014,-0.010]",2.042e-34,***,Spectrometer-corrected alanine
XL-HDL-TG,"-0.013 [-0.015,-0.011]",2.655e-42,***,Triglycerides in Very Large HDL
M-VLDL-PL,"-0.015 [-0.017,-0.013]",5.047e-56,***,Phospholipids in Medium VLDL
M-LDL-PL%,"-0.016 [-0.018,-0.014]",1.682e-59,***,Phospholipids to Total-Lipids in Medium LDL percentage
S-LDL-PL%,"-0.018 [-0.020,-0.016]",1.373e-76,***,Phospholipids to Total-Lipids in Small LDL percentage
S-VLDL-C,"-0.018 [-0.020,-0.016]",7.713e-79,***,Cholesterol in Small VLDL
HDL-TG,"-0.019 [-0.021,-0.017]",1.806e-87,***,Triglycerides in HDL
S-VLDL-PL,"-0.019 [-0.021,-0.017]",4.838e-88,***,Phospholipids in Small VLDL
M-VLDL-P,"-0.020 [-0.022,-0.018]",1.384e-99,***,Concentration of Medium VLDL Particles
Phe,"-0.021 [-0.023,-0.019]",1.438e-105,***,Phenylalanine
MUFA,"-0.021 [-0.023,-0.020]",4.957e-125,***,Monounsaturated Fatty Acids
VLDL-C,"-0.024 [-0.026,-0.022]",5.052e-141,***,VLDL Cholesterol
Leu,"-0.030 [-0.032,-0.028]",8.172e-223,***,Leucine
S-VLDL-CE,"-0.030 [-0.032,-0.028]",3.540e-220,***,Cholesteryl Esters in Small VLDL
XL-HDL-C%,"-0.031 [-0.033,-0.029]",3.447e-282,***,Cholesterol to Total-Lipids in Very Large HDL percentage
M-LDL-CE%,"-0.032 [-0.034,-0.030]",4.269e-252,***,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
M-VLDL-L,"-0.032 [-0.034,-0.030]",4.212e-265,***,Total-Lipids in Medium VLDL
L-LDL-TG,"-0.032 [-0.034,-0.030]",2.506e-275,***,Triglycerides in Large LDL
IDL-TG,"-0.033 [-0.035,-0.031]",3.734e-283,***,Triglycerides in IDL
Creatinine,"-0.034 [-0.036,-0.032]",2.471e-258,***,Creatinine
VLDL-P,"-0.035 [-0.037,-0.034]",0.000e+00,***,Concentration of VLDL Particles
Val,"-0.036 [-0.038,-0.034]",1.572e-303,***,Valine
Ile,"-0.036 [-0.038,-0.034]",0.000e+00,***,Isoleucine
Total-BCAA,"-0.036 [-0.038,-0.034]",0.000e+00,***,Total-Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
XXL-VLDL-TG%,"-0.040 [-0.042,-0.038]",0.000e+00,***,Triglycerides to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XXL-VLDL-PL%,"-0.040 [-0.042,-0.038]",1.003e-303,***,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
LDL-TG,"-0.041 [-0.043,-0.039]",0.000e+00,***,Triglycerides in LDL
VLDL-FC,"-0.042 [-0.044,-0.040]",0.000e+00,***,Free Cholesterol in VLDL
S-VLDL-L,"-0.047 [-0.049,-0.045]",0.000e+00,***,Total-Lipids in Small VLDL
M-LDL-TG,"-0.049 [-0.051,-0.047]",0.000e+00,***,Triglycerides in Medium LDL
XS-VLDL-TG,"-0.053 [-0.055,-0.051]",0.000e+00,***,Triglycerides in Very Small VLDL
GlycA,"-0.054 [-0.055,-0.052]",0.000e+00,***,Glycoprotein Acetyls
VLDL-PL,"-0.055 [-0.056,-0.053]",0.000e+00,***,Phospholipids in VLDL
L-VLDL-FC%,"-0.055 [-0.057,-0.053]",0.000e+00,***,Free Cholesterol to Total-Lipids in Large VLDL percentage
S-VLDL-P,"-0.056 [-0.058,-0.054]",0.000e+00,***,Concentration of Small VLDL Particles
XL-VLDL-PL%,"-0.061 [-0.063,-0.059]",0.000e+00,***,Phospholipids to Total-Lipids in Very Large VLDL percentage
S-LDL-TG,"-0.062 [-0.064,-0.061]",0.000e+00,***,Triglycerides in Small LDL
L-VLDL-CE,"-0.063 [-0.065,-0.062]",0.000e+00,***,Cholesteryl Esters in Large VLDL
VLDL-L,"-0.064 [-0.066,-0.062]",0.000e+00,***,Total-Lipids in VLDL
XL-VLDL-TG%,"-0.064 [-0.066,-0.062]",0.000e+00,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
M-VLDL-TG,"-0.066 [-0.068,-0.064]",0.000e+00,***,Triglycerides in Medium VLDL
XL-VLDL-CE,"-0.069 [-0.071,-0.067]",0.000e+00,***,Cholesteryl Esters in Very Large VLDL
Total-TG,"-0.073 [-0.075,-0.071]",0.000e+00,***,Total-Triglycerides
S-VLDL-TG,"-0.074 [-0.075,-0.072]",0.000e+00,***,Triglycerides in Small VLDL
XXL-VLDL-FC,"-0.074 [-0.076,-0.073]",0.000e+00,***,Free Cholesterol in Chylomicrons and Extremely Large VLDL
S-VLDL-TG%,"-0.075 [-0.077,-0.074]",0.000e+00,***,Triglycerides to Total-Lipids in Small VLDL percentage
L-VLDL-TG,"-0.077 [-0.079,-0.075]",0.000e+00,***,Triglycerides in Large VLDL
XXL-VLDL-TG,"-0.077 [-0.079,-0.075]",0.000e+00,***,Triglycerides in Chylomicrons and Extremely Large VLDL
L-VLDL-C,"-0.077 [-0.079,-0.076]",0.000e+00,***,Cholesterol in Large VLDL
XXL-VLDL-P,"-0.078 [-0.080,-0.076]",0.000e+00,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
XXL-VLDL-C,"-0.078 [-0.080,-0.076]",0.000e+00,***,Cholesterol in Chylomicrons and Extremely Large VLDL
S-HDL-TG,"-0.078 [-0.080,-0.077]",0.000e+00,***,Triglycerides in Small HDL
XL-VLDL-C,"-0.078 [-0.080,-0.077]",0.000e+00,***,Cholesterol in Very Large VLDL
XXL-VLDL-CE,"-0.079 [-0.080,-0.077]",0.000e+00,***,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
XXL-VLDL-PL,"-0.080 [-0.082,-0.079]",0.000e+00,***,Phospholipids in Chylomicrons and Extremely Large VLDL
XXL-VLDL-L,"-0.081 [-0.082,-0.079]",0.000e+00,***,Total-Lipids in Chylomicrons and Extremely Large VLDL
VLDL-TG,"-0.082 [-0.083,-0.080]",0.000e+00,***,Triglycerides in VLDL
M-LDL-TG%,"-0.082 [-0.084,-0.081]",0.000e+00,***,Triglycerides to Total-Lipids in Medium LDL percentage
L-VLDL-P,"-0.083 [-0.085,-0.081]",0.000e+00,***,Concentration of Large VLDL Particles
L-VLDL-L,"-0.083 [-0.085,-0.082]",0.000e+00,***,Total-Lipids in Large VLDL
L-HDL-PL%,"-0.084 [-0.085,-0.082]",0.000e+00,***,Phospholipids to Total-Lipids in Large HDL percentage
XL-VLDL-FC,"-0.084 [-0.086,-0.082]",0.000e+00,***,Free Cholesterol in Very Large VLDL
S-LDL-TG%,"-0.084 [-0.086,-0.083]",0.000e+00,***,Triglycerides to Total-Lipids in Small LDL percentage
XL-VLDL-TG,"-0.086 [-0.087,-0.084]",0.000e+00,***,Triglycerides in Very Large VLDL
XL-VLDL-P,"-0.087 [-0.089,-0.085]",0.000e+00,***,Concentration of Very Large VLDL Particles
L-VLDL-FC,"-0.087 [-0.089,-0.085]",0.000e+00,***,Free Cholesterol in Large VLDL
XL-VLDL-PL,"-0.088 [-0.089,-0.086]",0.000e+00,***,Phospholipids in Very Large VLDL
XL-VLDL-L,"-0.088 [-0.090,-0.086]",0.000e+00,***,Total-Lipids in Very Large VLDL
L-VLDL-PL,"-0.091 [-0.093,-0.089]",0.000e+00,***,Phospholipids in Large VLDL
IDL-PL%,"-0.092 [-0.093,-0.090]",0.000e+00,***,Phospholipids to Total-Lipids in IDL percentage
XS-VLDL-TG%,"-0.097 [-0.099,-0.096]",0.000e+00,***,Triglycerides to Total-Lipids in Very Small VLDL percentage
