Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
M-VLDL-C%,"-0.085 [-0.101,-0.068]",3.665e-19,***,Cholesterol to Total-Lipids in Medium VLDL percentage
XL-VLDL-FC%,"-0.085 [-0.104,-0.067]",5.361e-14,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
M-VLDL-CE%,"-0.093 [-0.109,-0.078]",1.233e-25,***,Cholesteryl Esters to Total-Lipids in Medium VLDL percentage
XL-VLDL-CE%,"-0.094 [-0.112,-0.076]",2.951e-19,***,Cholesteryl Esters to Total-Lipids in Very Large VLDL percentage
XL-VLDL-C%,"-0.096 [-0.114,-0.078]",1.650e-19,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
L-LDL-FC%,"-0.099 [-0.115,-0.082]",1.727e-26,***,Free Cholesterol to Total-Lipids in Large LDL percentage
S-LDL-FC%,"-0.112 [-0.127,-0.096]",1.151e-38,***,Free Cholesterol to Total-Lipids in Small LDL percentage
L-HDL-P,"-0.113 [-0.136,-0.091]",4.285e-17,***,Concentration of Large HDL Particles
IDL-PL%,"-0.122 [-0.139,-0.106]",1.814e-42,***,Phospholipids to Total-Lipids in IDL percentage
L-HDL-PL,"-0.127 [-0.148,-0.106]",1.634e-26,***,Phospholipids in Large HDL
XS-VLDL-C%,"-0.134 [-0.150,-0.118]",1.901e-55,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
L-HDL-C%,"-0.136 [-0.151,-0.120]",1.424e-59,***,Cholesterol to Total-Lipids in Large HDL percentage
L-HDL-L,"-0.137 [-0.158,-0.116]",1.308e-31,***,Total-Lipids in Large HDL
M-LDL-FC%,"-0.140 [-0.156,-0.124]",1.350e-60,***,Free Cholesterol to Total-Lipids in Medium LDL percentage
L-LDL-PL%,"-0.143 [-0.160,-0.126]",1.933e-54,***,Phospholipids to Total-Lipids in Large LDL percentage
L-HDL-CE,"-0.146 [-0.168,-0.124]",3.563e-33,***,Cholesteryl Esters in Large HDL
XS-VLDL-CE%,"-0.155 [-0.171,-0.139]",1.003e-73,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
L-HDL-C,"-0.159 [-0.180,-0.137]",1.932e-40,***,Cholesterol in Large HDL
M-HDL-PL%,"-0.168 [-0.185,-0.151]",5.457e-80,***,Phospholipids to Total-Lipids in Medium HDL percentage
