Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
L-HDL-C,0.48 [0.45-0.51],8.426e-134,***,Cholesterol in Large HDL
XL-VLDL-FC%,0.48 [0.45-0.50],8.354e-207,***,Free Cholesterol to Total-Lipids in Very Large VLDL percentage
PUFA,0.47 [0.46-0.49],1.962e-303,***,Polyunsaturated Fatty Acids
XL-HDL-PL,0.47 [0.44-0.50],4.994e-127,***,Phospholipids in Very Large HDL
M-VLDL-FC%,0.47 [0.45-0.48],0.000e+00,***,Free Cholesterol to Total-Lipids in Medium VLDL percentage
S-VLDL-C%,0.47 [0.45-0.49],0.000e+00,***,Cholesterol to Total-Lipids in Small VLDL percentage
Cholines,0.47 [0.45-0.48],0.000e+00,***,Total-Cholines
HDL-FC,0.46 [0.44-0.48],1.003e-197,***,Free Cholesterol in HDL
L-HDL-P,0.46 [0.43-0.49],7.408e-130,***,Concentration of Large HDL Particles
XL-VLDL-C%,0.46 [0.43-0.48],3.438e-222,***,Cholesterol to Total-Lipids in Very Large VLDL percentage
M-VLDL-PL%,0.45 [0.44-0.47],0.000e+00,***,Phospholipids to Total-Lipids in Medium VLDL percentage
S-VLDL-PL,0.45 [0.43-0.47],3.441e-233,***,Phospholipids in Small VLDL
XS-VLDL-C%,0.45 [0.44-0.47],0.000e+00,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
Omega-6,0.45 [0.43-0.47],0.000e+00,***,Omega-6 Fatty Acids
XS-VLDL-CE%,0.45 [0.43-0.46],0.000e+00,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
LA,0.45 [0.43-0.47],0.000e+00,***,Linoleic Acid
Total-L,0.45 [0.43-0.46],0.000e+00,***,Total-Lipids in Lipoprotein Particles
XS-VLDL-PL,0.44 [0.42-0.46],1.276e-245,***,Phospholipids in Very Small VLDL
L-HDL-FC,0.44 [0.42-0.47],5.167e-145,***,Free Cholesterol in Large HDL
S-VLDL-CE,0.44 [0.42-0.46],1.776e-238,***,Cholesteryl Esters in Small VLDL
S-VLDL-FC%,0.44 [0.42-0.45],0.000e+00,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
VLDL-C,0.44 [0.42-0.46],4.302e-290,***,VLDL Cholesterol
XL-HDL-FC,0.44 [0.41-0.46],1.601e-197,***,Free Cholesterol in Very Large HDL
Total-PL,0.43 [0.42-0.45],0.000e+00,***,Total-Phospholipids in Lipoprotein Particles
M-VLDL-P,0.43 [0.41-0.45],1.823e-243,***,Concentration of Medium VLDL Particles
M-VLDL-PL,0.42 [0.40-0.44],1.898e-277,***,Phospholipids in Medium VLDL
M-LDL-L,0.42 [0.40-0.44],0.000e+00,***,Total-Lipids in Medium LDL
XL-HDL-L,0.42 [0.39-0.44],6.487e-171,***,Total-Lipids in Very Large HDL
S-VLDL-C,0.42 [0.40-0.44],1.112e-275,***,Cholesterol in Small VLDL
S-VLDL-PL%,0.41 [0.40-0.43],0.000e+00,***,Phospholipids to Total-Lipids in Small VLDL percentage
M-LDL-CE,0.41 [0.39-0.43],0.000e+00,***,Cholesteryl Esters in Medium LDL
S-LDL-PL,0.41 [0.39-0.43],0.000e+00,***,Phospholipids in Small LDL
XS-VLDL-L,0.41 [0.39-0.43],0.000e+00,***,Total-Lipids in Very Small VLDL
M-LDL-PL,0.40 [0.39-0.42],0.000e+00,***,Phospholipids in Medium LDL
M-LDL-C,0.40 [0.38-0.42],0.000e+00,***,Cholesterol in Medium LDL
LDL-L,0.40 [0.39-0.42],0.000e+00,***,Total-Lipids in LDL
S-LDL-L,0.40 [0.38-0.42],0.000e+00,***,Total-Lipids in Small LDL
LDL-CE,0.39 [0.38-0.41],0.000e+00,***,Cholesteryl Esters in LDL
LDL-C,0.39 [0.37-0.40],0.000e+00,***,LDL Cholesterol
S-LDL-FC,0.39 [0.37-0.41],0.000e+00,***,Free Cholesterol in Small LDL
SM,0.39 [0.37-0.40],0.000e+00,***,Sphingomyelins
S-LDL-CE,0.39 [0.37-0.40],0.000e+00,***,Cholesteryl Esters in Small LDL
Clinical LDL-C,0.38 [0.37-0.40],0.000e+00,***,Clinical LDL Cholesterol
VLDL-CE,0.38 [0.36-0.40],0.000e+00,***,Cholesteryl Esters in VLDL
S-LDL-P,0.38 [0.36-0.40],0.000e+00,***,Concentration of Small LDL Particles
XS-VLDL-P,0.38 [0.36-0.40],0.000e+00,***,Concentration of Very Small VLDL Particles
Non-HDL-C,0.38 [0.37-0.40],0.000e+00,***,Total-Cholesterol Minus HDL-C
Total-C,0.38 [0.37-0.39],0.000e+00,***,Total-Cholesterol
S-LDL-C,0.38 [0.36-0.40],0.000e+00,***,Cholesterol in Small LDL
Total-CE,0.38 [0.36-0.39],0.000e+00,***,Total-Esterified Cholesterol
S-VLDL-FC,0.38 [0.36-0.40],0.000e+00,***,Free Cholesterol in Small VLDL
L-LDL-L,0.38 [0.36-0.39],0.000e+00,***,Total-Lipids in Large LDL
M-VLDL-FC,0.37 [0.36-0.39],0.000e+00,***,Free Cholesterol in Medium VLDL
M-LDL-P,0.37 [0.36-0.39],0.000e+00,***,Concentration of Medium LDL Particles
XS-VLDL-FC,0.37 [0.35-0.39],0.000e+00,***,Free Cholesterol in Very Small VLDL
XL-HDL-C,0.37 [0.35-0.39],1.525e-208,***,Cholesterol in Very Large HDL
L-LDL-CE,0.37 [0.35-0.39],0.000e+00,***,Cholesteryl Esters in Large LDL
ApoB,0.37 [0.35-0.38],0.000e+00,***,Apolipoprotein B
LDL-PL,0.37 [0.35-0.38],0.000e+00,***,Phospholipids in LDL
XL-HDL-CE,0.37 [0.34-0.39],5.127e-201,***,Cholesteryl Esters in Very Large HDL
L-LDL-C,0.36 [0.35-0.38],0.000e+00,***,Cholesterol in Large LDL
M-LDL-FC,0.36 [0.34-0.38],0.000e+00,***,Free Cholesterol in Medium LDL
Remnant-C,0.36 [0.34-0.37],0.000e+00,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
Total-FC,0.36 [0.34-0.37],0.000e+00,***,Total-Free Cholesterol
XL-HDL-P,0.35 [0.33-0.37],7.672e-217,***,Concentration of Very Large HDL Particles
LDL-P,0.35 [0.33-0.36],0.000e+00,***,Concentration of LDL Particles
LDL-FC,0.34 [0.32-0.36],0.000e+00,***,Free Cholesterol in LDL
L-LDL-P,0.34 [0.32-0.36],0.000e+00,***,Concentration of Large LDL Particles
L-LDL-PL,0.33 [0.32-0.35],0.000e+00,***,Phospholipids in Large LDL
IDL-L,0.33 [0.31-0.34],0.000e+00,***,Total-Lipids in IDL
M-VLDL-C,0.32 [0.30-0.34],0.000e+00,***,Cholesterol in Medium VLDL
XS-VLDL-C,0.32 [0.30-0.33],0.000e+00,***,Cholesterol in Very Small VLDL
L-LDL-FC,0.31 [0.30-0.33],0.000e+00,***,Free Cholesterol in Large LDL
IDL-C,0.31 [0.30-0.33],0.000e+00,***,Cholesterol in IDL
IDL-CE,0.30 [0.29-0.32],0.000e+00,***,Cholesteryl Esters in IDL
IDL-PL,0.30 [0.29-0.31],0.000e+00,***,Phospholipids in IDL
M-VLDL-CE,0.30 [0.28-0.31],0.000e+00,***,Cholesteryl Esters in Medium VLDL
IDL-FC,0.30 [0.28-0.31],0.000e+00,***,Free Cholesterol in IDL
XS-VLDL-CE,0.29 [0.28-0.31],0.000e+00,***,Cholesteryl Esters in Very Small VLDL
IDL-P,0.28 [0.26-0.29],0.000e+00,***,Concentration of IDL Particles
