Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
S-LDL-FC,0.67 [0.66-0.68],0.000e+00,***,Free Cholesterol in Small LDL
M-LDL-C,0.67 [0.66-0.67],0.000e+00,***,Cholesterol in Medium LDL
S-LDL-L,0.66 [0.66-0.67],0.000e+00,***,Total-Lipids in Small LDL
LA,0.66 [0.65-0.67],0.000e+00,***,Linoleic Acid
S-LDL-CE,0.66 [0.65-0.67],0.000e+00,***,Cholesteryl Esters in Small LDL
S-LDL-C,0.66 [0.65-0.67],0.000e+00,***,Cholesterol in Small LDL
M-LDL-FC,0.65 [0.65-0.66],0.000e+00,***,Free Cholesterol in Medium LDL
L-LDL-P,0.65 [0.65-0.66],0.000e+00,***,Concentration of Large LDL Particles
LDL-P,0.65 [0.65-0.66],0.000e+00,***,Concentration of LDL Particles
LDL-CE,0.65 [0.65-0.66],0.000e+00,***,Cholesteryl Esters in LDL
LDL-L,0.65 [0.64-0.66],0.000e+00,***,Total-Lipids in LDL
XS-VLDL-C,0.65 [0.64-0.66],0.000e+00,***,Cholesterol in Very Small VLDL
ApoB,0.65 [0.64-0.66],0.000e+00,***,Apolipoprotein B
LDL-C,0.65 [0.64-0.66],0.000e+00,***,LDL Cholesterol
LDL-PL,0.65 [0.64-0.66],0.000e+00,***,Phospholipids in LDL
L-LDL-CE,0.65 [0.64-0.66],0.000e+00,***,Cholesteryl Esters in Large LDL
L-LDL-L,0.64 [0.64-0.65],0.000e+00,***,Total-Lipids in Large LDL
M-VLDL-C,0.64 [0.63-0.65],0.000e+00,***,Cholesterol in Medium VLDL
L-LDL-C,0.64 [0.63-0.65],0.000e+00,***,Cholesterol in Large LDL
XS-VLDL-CE,0.64 [0.63-0.65],0.000e+00,***,Cholesteryl Esters in Very Small VLDL
Clinical LDL-C,0.64 [0.63-0.65],0.000e+00,***,Clinical LDL Cholesterol
Non-HDL-C,0.64 [0.63-0.65],0.000e+00,***,Total-Cholesterol Minus HDL-C
LDL-FC,0.64 [0.63-0.64],0.000e+00,***,Free Cholesterol in LDL
L-LDL-PL,0.64 [0.63-0.64],0.000e+00,***,Phospholipids in Large LDL
Remnant-C,0.63 [0.63-0.64],0.000e+00,***,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
M-VLDL-CE,0.63 [0.63-0.64],0.000e+00,***,Cholesteryl Esters in Medium VLDL
IDL-P,0.63 [0.62-0.64],0.000e+00,***,Concentration of IDL Particles
Total-CE,0.63 [0.62-0.64],0.000e+00,***,Total-Esterified Cholesterol
Total-C,0.63 [0.62-0.64],0.000e+00,***,Total-Cholesterol
Total-FC,0.63 [0.62-0.64],0.000e+00,***,Total-Free Cholesterol
L-LDL-FC,0.63 [0.62-0.63],0.000e+00,***,Free Cholesterol in Large LDL
IDL-FC,0.62 [0.61-0.63],0.000e+00,***,Free Cholesterol in IDL
IDL-PL,0.62 [0.61-0.63],0.000e+00,***,Phospholipids in IDL
IDL-L,0.62 [0.61-0.63],0.000e+00,***,Total-Lipids in IDL
IDL-C,0.61 [0.60-0.62],0.000e+00,***,Cholesterol in IDL
IDL-CE,0.61 [0.60-0.62],0.000e+00,***,Cholesteryl Esters in IDL
