Abbreviations,Beta(95%CI),P-value(Bonferroni),P-star,Metabolite
Remnant-C,"0.113 [0.075,0.151]",0.001,**,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
S-VLDL-CE%,"0.108 [0.071,0.146]",0.004,**,Cholesteryl Esters to Total-Lipids in Small VLDL percentage
M-LDL-C,"0.103 [0.066,0.141]",0.014,*,Cholesterol in Medium LDL
M-LDL-P,"0.099 [0.062,0.137]",0.041,*,Concentration of Medium LDL Particles
XXL-VLDL-PL%,"-0.102 [-0.135,-0.068]",4.010e-04,***,Phospholipids to Total-Lipids in Chylomicrons and Extremely Large VLDL percentage
XL-VLDL-PL,"-0.106 [-0.146,-0.067]",0.038,*,Phospholipids in Very Large VLDL
Phe,"-0.111 [-0.148,-0.074]",8.344e-04,***,Phenylalanine
Total-TG,"-0.111 [-0.151,-0.071]",0.010,**,Total-Triglycerides
XL-VLDL-TG%,"-0.112 [-0.147,-0.077]",1.171e-04,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
XL-VLDL-P,"-0.112 [-0.153,-0.072]",0.010,*,Concentration of Very Large VLDL Particles
VLDL-TG,"-0.113 [-0.153,-0.074]",0.005,**,Triglycerides in VLDL
XS-VLDL-TG,"-0.114 [-0.153,-0.076]",0.001,**,Triglycerides in Very Small VLDL
XL-VLDL-L,"-0.115 [-0.155,-0.074]",0.005,**,Total-Lipids in Very Large VLDL
S-LDL-TG,"-0.116 [-0.156,-0.075]",0.006,**,Triglycerides in Small LDL
S-VLDL-TG,"-0.118 [-0.157,-0.079]",4.959e-04,***,Triglycerides in Small VLDL
XL-VLDL-TG,"-0.126 [-0.167,-0.085]",3.675e-04,***,Triglycerides in Very Large VLDL
XXL-VLDL-TG,"-0.135 [-0.177,-0.093]",5.323e-05,***,Triglycerides in Chylomicrons and Extremely Large VLDL
S-HDL-TG,"-0.142 [-0.181,-0.104]",1.174e-07,***,Triglycerides in Small HDL
XXL-VLDL-L,"-0.146 [-0.187,-0.105]",9.032e-07,***,Total-Lipids in Chylomicrons and Extremely Large VLDL
XXL-VLDL-P,"-0.146 [-0.188,-0.105]",1.087e-06,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
XXL-VLDL-CE,"-0.146 [-0.187,-0.106]",2.105e-07,***,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
XXL-VLDL-FC,"-0.148 [-0.188,-0.107]",2.359e-07,***,Free Cholesterol in Chylomicrons and Extremely Large VLDL
M-HDL-TG%,"-0.148 [-0.187,-0.109]",2.055e-08,***,Triglycerides to Total-Lipids in Medium HDL percentage
XXL-VLDL-C,"-0.149 [-0.189,-0.109]",1.057e-07,***,Cholesterol in Chylomicrons and Extremely Large VLDL
VLDL-size,"-0.151 [-0.192,-0.111]",8.537e-08,***,Average Diameter for VLDL Particles
L-VLDL-PL%,"-0.152 [-0.186,-0.118]",7.500e-13,***,Phospholipids to Total-Lipids in Large VLDL percentage
IDL-PL%,"-0.154 [-0.191,-0.118]",1.872e-11,***,Phospholipids to Total-Lipids in IDL percentage
XXL-VLDL-PL,"-0.158 [-0.199,-0.117]",1.263e-08,***,Phospholipids in Chylomicrons and Extremely Large VLDL
L-HDL-TG%,"-0.159 [-0.201,-0.116]",6.012e-08,***,Triglycerides to Total-Lipids in Large HDL percentage
MUFA,"-0.162 [-0.203,-0.122]",1.041e-09,***,Monounsaturated Fatty Acids
S-VLDL-TG%,"-0.171 [-0.209,-0.134]",8.651e-14,***,Triglycerides to Total-Lipids in Small VLDL percentage
S-HDL-TG%,"-0.185 [-0.224,-0.146]",2.797e-15,***,Triglycerides to Total-Lipids in Small HDL percentage
M-VLDL-TG%,"-0.188 [-0.226,-0.149]",5.604e-16,***,Triglycerides to Total-Lipids in Medium VLDL percentage
XL-HDL-FC%,"-0.188 [-0.235,-0.142]",5.564e-10,***,Free Cholesterol to Total-Lipids in Very Large HDL percentage
XL-HDL-TG%,"-0.192 [-0.234,-0.150]",6.435e-14,***,Triglycerides to Total-Lipids in Very Large HDL percentage
TG/PG,"-0.204 [-0.247,-0.161]",2.427e-15,***,Triglycerides to Phosphoglycerides ratio
