Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
Total-FA,0.42 [0.40-0.44],0.000e+00,***,Total-Fatty Acids
XS-VLDL-C%,0.42 [0.41-0.44],0.000e+00,***,Cholesterol to Total-Lipids in Very Small VLDL percentage
XS-VLDL-CE%,0.42 [0.41-0.44],0.000e+00,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
S-VLDL-FC%,0.42 [0.40-0.43],0.000e+00,***,Free Cholesterol to Total-Lipids in Small VLDL percentage
M-VLDL-PL%,0.41 [0.40-0.43],0.000e+00,***,Phospholipids to Total-Lipids in Medium VLDL percentage
HDL-C,0.41 [0.39-0.44],5.270e-239,***,HDL Cholesterol
L-HDL-L,0.41 [0.39-0.44],1.527e-185,***,Total-Lipids in Large HDL
M-VLDL-L,0.41 [0.39-0.43],1.779e-266,***,Total-Lipids in Medium VLDL
VLDL-FC,0.39 [0.37-0.41],1.066e-260,***,Free Cholesterol in VLDL
L-HDL-CE,0.39 [0.36-0.41],2.531e-175,***,Cholesteryl Esters in Large HDL
S-VLDL-PL%,0.39 [0.37-0.40],0.000e+00,***,Phospholipids to Total-Lipids in Small VLDL percentage
Total-P,0.38 [0.36-0.40],0.000e+00,***,Total-Concentration of Lipoprotein Particles
L-HDL-C,0.38 [0.35-0.40],9.335e-188,***,Cholesterol in Large HDL
VLDL-P,0.37 [0.35-0.39],6.807e-251,***,Concentration of VLDL Particles
XL-HDL-PL,0.37 [0.35-0.40],8.291e-179,***,Phospholipids in Very Large HDL
Phosphoglyc,0.37 [0.36-0.39],0.000e+00,***,Phosphoglycerides
XL-HDL-FC,0.37 [0.34-0.39],1.604e-245,***,Free Cholesterol in Very Large HDL
S-VLDL-CE,0.36 [0.34-0.38],3.781e-280,***,Cholesteryl Esters in Small VLDL
PC,0.36 [0.34-0.37],0.000e+00,***,Phosphatidylcholines
PUFA,0.36 [0.34-0.37],0.000e+00,***,Polyunsaturated Fatty Acids
S-VLDL-PL,0.35 [0.33-0.37],1.804e-301,***,Phospholipids in Small VLDL
M-LDL-L,0.35 [0.33-0.36],0.000e+00,***,Total-Lipids in Medium LDL
S-LDL-FC,0.35 [0.33-0.37],0.000e+00,***,Free Cholesterol in Small LDL
S-LDL-PL,0.34 [0.33-0.36],0.000e+00,***,Phospholipids in Small LDL
Cholines,0.34 [0.33-0.36],0.000e+00,***,Total-Cholines
M-LDL-PL,0.34 [0.32-0.35],0.000e+00,***,Phospholipids in Medium LDL
HDL-FC,0.34 [0.32-0.35],3.800e-300,***,Free Cholesterol in HDL
M-LDL-CE,0.34 [0.32-0.35],0.000e+00,***,Cholesteryl Esters in Medium LDL
S-VLDL-C,0.33 [0.32-0.35],0.000e+00,***,Cholesterol in Small VLDL
Total-L,0.33 [0.32-0.35],0.000e+00,***,Total-Lipids in Lipoprotein Particles
VLDL-C,0.33 [0.32-0.35],0.000e+00,***,VLDL Cholesterol
M-LDL-C,0.33 [0.32-0.35],0.000e+00,***,Cholesterol in Medium LDL
LDL-L,0.33 [0.32-0.35],0.000e+00,***,Total-Lipids in LDL
L-HDL-P,0.33 [0.31-0.36],2.276e-192,***,Concentration of Large HDL Particles
L-HDL-FC,0.33 [0.30-0.35],1.154e-207,***,Free Cholesterol in Large HDL
XL-HDL-L,0.32 [0.30-0.34],3.552e-230,***,Total-Lipids in Very Large HDL
