Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
Cholines,"1.304 [1.285,1.322]",3.736e-291,***,Total-Cholines
Total-PL,"1.265 [1.248,1.282]",4.580e-241,***,Total-Phospholipids in Lipoprotein Particles
L-HDL-PL,"1.253 [1.232,1.274]",3.345e-142,***,Phospholipids in Large HDL
M-HDL-FC%,"1.237 [1.219,1.255]",4.565e-174,***,Free Cholesterol to Total-Lipids in Medium HDL percentage
SFA,"1.231 [1.215,1.247]",1.297e-215,***,Saturated Fatty Acids
SM,"1.219 [1.202,1.237]",1.061e-159,***,Sphingomyelins
SFA%,"1.218 [1.202,1.233]",3.352e-198,***,Saturated Fatty Acids to Total-Fatty Acids percentage
L-HDL-L,"1.215 [1.195,1.236]",7.323e-107,***,Total-Lipids in Large HDL
Total-FA,"1.199 [1.184,1.215]",9.541e-162,***,Total-Fatty Acids
L-HDL-P,"1.198 [1.176,1.220]",2.021e-78,***,Concentration of Large HDL Particles
MUFA,"1.195 [1.180,1.211]",1.804e-156,***,Monounsaturated Fatty Acids
M-HDL-TG,"1.193 [1.177,1.210]",1.289e-137,***,Triglycerides in Medium HDL
S-LDL-CE%,"1.187 [1.170,1.203]",2.289e-126,***,Cholesteryl Esters to Total-Lipids in Small LDL percentage
Total-L,"1.175 [1.160,1.190]",3.364e-123,***,Total-Lipids in Lipoprotein Particles
L-HDL-FC,"1.172 [1.151,1.193]",5.440e-61,***,Free Cholesterol in Large HDL
S-HDL-PL%,"1.167 [1.151,1.183]",3.304e-102,***,Phospholipids to Total-Lipids in Small HDL percentage
L-HDL-C,"1.166 [1.146,1.187]",1.202e-60,***,Cholesterol in Large HDL
L-HDL-CE,"1.163 [1.143,1.184]",8.387e-58,***,Cholesteryl Esters in Large HDL
Total-CE,"1.154 [1.139,1.169]",5.537e-92,***,Total-Esterified Cholesterol
HDL-TG,"1.150 [1.135,1.166]",1.244e-87,***,Triglycerides in HDL
Total-C,"1.142 [1.127,1.158]",6.474e-80,***,Total-Cholesterol
MUFA%,"1.133 [1.118,1.149]",1.689e-67,***,Monounsaturated Fatty Acids to Total-Fatty Acids percentage
S-HDL-TG,"1.131 [1.115,1.146]",1.223e-62,***,Triglycerides in Small HDL
L-HDL-PL%,"1.130 [1.116,1.145]",3.542e-71,***,Phospholipids to Total-Lipids in Large HDL percentage
PUFA,"1.130 [1.115,1.145]",1.488e-66,***,Polyunsaturated Fatty Acids
L-HDL-TG,"1.121 [1.105,1.138]",3.033e-49,***,Triglycerides in Large HDL
XL-VLDL-TG%,"1.121 [1.103,1.139]",1.022e-38,***,Triglycerides to Total-Lipids in Very Large VLDL percentage
Omega-6,"1.118 [1.104,1.133]",2.133e-56,***,Omega-6 Fatty Acids
L-LDL-TG,"1.116 [1.102,1.131]",6.799e-56,***,Triglycerides in Large LDL
Total-FC,"1.114 [1.099,1.129]",6.813e-51,***,Total-Free Cholesterol
HDL-size,"1.113 [1.094,1.132]",3.451e-30,***,Average Diameter for HDL Particles
Omega-3,"1.113 [1.098,1.128]",7.293e-47,***,Omega-3 Fatty Acids
GlycA,"1.111 [1.096,1.126]",8.610e-46,***,Glycoprotein Acetyls
Acetoacetate,"1.110 [1.095,1.125]",2.425e-48,***,Acetoacetate
LDL-TG,"1.109 [1.094,1.123]",6.011e-50,***,Triglycerides in LDL
IDL-TG,"1.106 [1.091,1.121]",1.315e-44,***,Triglycerides in IDL
M-LDL-TG,"1.099 [1.085,1.113]",1.090e-42,***,Triglycerides in Medium LDL
M-LDL-CE%,"1.099 [1.084,1.114]",1.462e-36,***,Cholesteryl Esters to Total-Lipids in Medium LDL percentage
XXL-VLDL-FC,"1.097 [1.083,1.112]",6.696e-39,***,Free Cholesterol in Chylomicrons and Extremely Large VLDL
XXL-VLDL-C,"1.097 [1.082,1.111]",1.097e-37,***,Cholesterol in Chylomicrons and Extremely Large VLDL
S-LDL-C%,"1.096 [1.081,1.110]",4.948e-35,***,Cholesterol to Total-Lipids in Small LDL percentage
XXL-VLDL-CE,"1.095 [1.081,1.110]",5.093e-36,***,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
DHA,"1.095 [1.080,1.110]",4.272e-32,***,Docosahexaenoic Acid
XXL-VLDL-L,"1.092 [1.078,1.107]",2.770e-34,***,Total-Lipids in Chylomicrons and Extremely Large VLDL
XXL-VLDL-P,"1.092 [1.078,1.106]",2.037e-35,***,Concentration of Chylomicrons and Extremely Large VLDL Particles
XXL-VLDL-PL,"1.092 [1.078,1.106]",1.338e-34,***,Phospholipids in Chylomicrons and Extremely Large VLDL
IDL-CE,"1.090 [1.075,1.105]",1.014e-29,***,Cholesteryl Esters in IDL
XXL-VLDL-TG,"1.090 [1.076,1.104]",1.130e-33,***,Triglycerides in Chylomicrons and Extremely Large VLDL
Total-TG,"1.090 [1.075,1.104]",5.178e-31,***,Total-Triglycerides
XS-VLDL-TG,"1.087 [1.073,1.102]",1.279e-29,***,Triglycerides in Very Small VLDL
M-LDL-CE,"1.087 [1.073,1.101]",1.150e-29,***,Cholesteryl Esters in Medium LDL
