Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
IDL-FC,0.28 [0.23-0.34],1.742e-31,***,Free Cholesterol in IDL
S-LDL-P,0.28 [0.22-0.34],2.986e-26,***,Concentration of Small LDL Particles
S-LDL-C,0.27 [0.23-0.34],6.106e-32,***,Cholesterol in Small LDL
L-LDL-FC,0.27 [0.23-0.33],7.769e-35,***,Free Cholesterol in Large LDL
L-LDL-PL,0.27 [0.22-0.33],3.599e-36,***,Phospholipids in Large LDL
M-VLDL-FC,0.27 [0.22-0.33],1.508e-26,***,Free Cholesterol in Medium VLDL
L-LDL-P,0.27 [0.21-0.33],2.745e-27,***,Concentration of Large LDL Particles
S-LDL-CE,0.26 [0.21-0.33],9.723e-31,***,Cholesteryl Esters in Small LDL
LDL-P,0.26 [0.21-0.32],4.723e-29,***,Concentration of LDL Particles
IDL-P,0.26 [0.21-0.32],6.896e-29,***,Concentration of IDL Particles
M-LDL-P,0.26 [0.21-0.32],1.843e-28,***,Concentration of Medium LDL Particles
M-VLDL-C,0.25 [0.20-0.31],1.207e-32,***,Cholesterol in Medium VLDL
M-VLDL-CE,0.25 [0.20-0.31],3.616e-33,***,Cholesteryl Esters in Medium VLDL
