Abbreviations,OR(95%CI),P-value(Bonferroni),P-star,Metabolite
M-LDL-C%,0.87 [0.86-0.88],1.166e-120,***,Cholesterol to Total-Lipids in Medium LDL percentage
M-VLDL-CE,0.87 [0.86-0.88],5.913e-112,***,Cholesteryl Esters in Medium VLDL
S-LDL-C,0.87 [0.86-0.88],2.598e-115,***,Cholesterol in Small LDL
IDL-P,0.87 [0.86-0.88],1.478e-115,***,Concentration of IDL Particles
M-LDL-C,0.87 [0.86-0.88],2.100e-118,***,Cholesterol in Medium LDL
XS-VLDL-CE%,0.87 [0.86-0.88],3.015e-110,***,Cholesteryl Esters to Total-Lipids in Very Small VLDL percentage
IDL-PL,0.87 [0.86-0.88],1.012e-117,***,Phospholipids in IDL
S-LDL-C%,0.87 [0.86-0.88],5.605e-132,***,Cholesterol to Total-Lipids in Small LDL percentage
S-LDL-FC,0.87 [0.86-0.88],1.077e-128,***,Free Cholesterol in Small LDL
LDL-CE,0.86 [0.85-0.87],1.187e-131,***,Cholesteryl Esters in LDL
Non-HDL-C,0.86 [0.85-0.87],7.833e-135,***,Total-Cholesterol Minus HDL-C
LDL-L,0.86 [0.85-0.87],5.880e-135,***,Total-Lipids in LDL
LDL-PL,0.86 [0.85-0.87],1.927e-134,***,Phospholipids in LDL
L-LDL-CE,0.86 [0.85-0.87],1.836e-137,***,Cholesteryl Esters in Large LDL
LDL-C,0.86 [0.85-0.87],5.392e-143,***,LDL Cholesterol
M-LDL-FC,0.86 [0.85-0.87],1.686e-140,***,Free Cholesterol in Medium LDL
Total-FC,0.86 [0.85-0.87],1.014e-137,***,Total-Free Cholesterol
L-LDL-L,0.86 [0.85-0.87],7.966e-142,***,Total-Lipids in Large LDL
IDL-C%,0.86 [0.85-0.87],1.419e-145,***,Cholesterol to Total-Lipids in IDL percentage
IDL-CE%,0.86 [0.85-0.87],4.517e-146,***,Cholesteryl Esters to Total-Lipids in IDL percentage
L-LDL-PL,0.86 [0.85-0.87],1.936e-145,***,Phospholipids in Large LDL
L-LDL-C,0.86 [0.85-0.87],5.715e-148,***,Cholesterol in Large LDL
IDL-L,0.86 [0.85-0.87],2.378e-143,***,Total-Lipids in IDL
IDL-FC,0.85 [0.84-0.86],2.764e-142,***,Free Cholesterol in IDL
Clinical LDL-C,0.85 [0.84-0.86],5.965e-155,***,Clinical LDL Cholesterol
L-LDL-C%,0.85 [0.84-0.86],4.702e-144,***,Cholesterol to Total-Lipids in Large LDL percentage
LDL-FC,0.85 [0.84-0.86],3.073e-157,***,Free Cholesterol in LDL
Total-C,0.85 [0.84-0.86],4.632e-157,***,Total-Cholesterol
L-LDL-FC,0.85 [0.84-0.86],4.020e-161,***,Free Cholesterol in Large LDL
Total-CE,0.85 [0.84-0.86],5.591e-161,***,Total-Esterified Cholesterol
IDL-C,0.85 [0.84-0.86],1.082e-161,***,Cholesterol in IDL
IDL-CE,0.85 [0.84-0.86],1.793e-163,***,Cholesteryl Esters in IDL
